FID,the_geom,ID_order,ID,today,deviceid,simserial,coordinate,Y_coordina,X_coordina,_coordinat,_coordin_1,tree_speci,other,tree_healt,threat,threat_ele,threat_roa,threat_bui,threat_wat,threat_peo,other_thre,other_001,tree_site,tree_base,_submissio,_index,functional,function_1,function_2,other_002,distance_c,angle_bott,angle_top,circumfere,diameter,comment_st,stem_tree_,_id,small_big
dar_es_salaam_trees.19,POINT (39.263285 -6.769581667),19,118,3/12/2020,3.53E+19,"8,93E+18",-6.769581666666666 39.263284999999996 -23.3 4.9,-6.76958167,39.263285,-23.3,4.9,palm,,healthy,building/structures electricity/wires water/sewage road,1,1,1,1,0,,,private,restricted/incased,2020-03-12T09:44:58,20,,,,,,,,,,,,,small
dar_es_salaam_trees.20,POINT (39.26052333 -6.772613333),20,119,3/13/2020,3.58E+19,"8,93E+18",-6.772613333333334 39.26052333333334 9.0 3.7,-6.77261333,39.26052333,9,3.7,other,,healthy,building/structures road,0,1,1,0,0,,,public,Open soil,2020-03-13T16:19:17,74,,,,,,,,,,,,,small
dar_es_salaam_trees.21,POINT (39.26085167 -6.775515),21,120,3/11/2020,3.59E+19,"8,93E+18",-6.7755149999999995 39.26085166666667 40.6 5.0,-6.775515,39.26085167,40.6,5,palm,,healthy,building/structures road,0,1,1,0,0,,,public,Open soil,2020-03-11T10:41:30,22,,,,,,,,,,,,,small
dar_es_salaam_trees.22,POINT (39.26094 -6.773333333),22,121,3/11/2020,3.59E+19,"8,93E+18",-6.773333333333333 39.26094 45.8 4.9,-6.77333333,39.26094,45.8,4.9,ashok,,healthy,building/structures road electricity/wires,1,1,1,0,0,,,public,adjacent to a hard surface,2020-03-11T10:45:10,26,,,,,,,,,,,,,small
dar_es_salaam_trees.23,POINT (39.26096 -6.773975),23,122,3/11/2020,3.59E+19,"8,93E+18",-6.773975 39.26096 46.8 5.0,-6.773975,39.26096,46.8,5,ashok,,healthy,building/structures water/sewage,0,0,1,1,0,,,private,adjacent to a hard surface,2020-03-11T10:44:16,24,,,,,,,,,,,,,small
dar_es_salaam_trees.24,POINT (39.260425 -6.772685),24,123,3/13/2020,3.58E+19,"8,93E+18",-6.772684999999999 39.260425000000005 9.1 4.9,-6.772685,39.260425,9.1,4.9,ashok,,healthy,building/structures water/sewage,0,0,1,1,0,,,public,Open soil,2020-03-13T16:20:12,79,,,,,,,,,,,,,small
dar_es_salaam_trees.25,POINT (39.26067333 -6.772621667),25,124,3/12/2020,3.58E+19,"8,93E+18",-6.772621666666667 39.26067333333334 15.5 3.9,-6.77262167,39.26067333,15.5,3.9,other,,healthy,building/structures water/sewage,0,0,1,1,0,,,public,Open soil,2020-03-12T08:35:56,6,,,,,,,,,,,,,small
dar_es_salaam_trees.26,POINT (39.26051667 -6.7726),26,125,3/13/2020,3.58E+19,"8,93E+18",-6.7726 39.26051666666667 9.0 5.0,-6.7726,39.26051667,9,5,other,,healthy,building/structures water/sewage,0,0,1,1,0,,,public,Open soil,2020-03-13T16:19:09,73,,,,,,,,,,,,,small
dar_es_salaam_trees.27,POINT (39.26047167 -6.772618333),27,126,3/13/2020,3.58E+19,"8,93E+18",-6.772618333333332 39.26047166666667 8.7 4.7,-6.77261833,39.26047167,8.7,4.7,other,,healthy,building/structures water/sewage,0,0,1,1,0,,,public,Open soil,2020-03-13T16:19:24,75,,,,,,,,,,,,,small
dar_es_salaam_trees.28,POINT (39.26047833 -6.772666667),28,127,3/13/2020,3.58E+19,"8,93E+18",-6.772666666666667 39.26047833333334 8.4 4.9,-6.77266667,39.26047833,8.4,4.9,other,,healthy,building/structures water/sewage,0,0,1,1,0,,,public,Open soil,2020-03-13T16:19:35,76,,,,,,,,,,,,,small
